plate,O_time,O_lon,O_lat,D_time,D_lon,D_lat,CHK_time,time_minus
BM9149,20160103103714,116.330754,40.053341,20160103110158,116.320639,40.113536,2016/3/23 20:55:00,20
BM9149,20160104102627,116.320469,40.037081,20160104105834,116.277439,40.022549,2016/3/23 20:55:00,22
BM9149,20160109123514,116.314617,40.03733,20160109124603,116.310228,40.036063,2016/3/23 20:55:00,21
BM9149,20160110111802,116.246452,40.045913,20160110113644,116.268152,40.011013,2016/3/23 20:55:00,22
BM9149,20160113091720,116.318737,40.049758,20160113093408,116.304278,40.050234,2016/3/23 20:55:00,21
BM9149,20160118091731,116.325781,40.040511,20160118095702,116.31493,40.054502,2016/3/23 20:55:00,21
BM9149,20160119091450,116.325901,40.035761,20160119092735,116.320108,40.032,2016/3/23 20:55:00,18
BM9149,20160123094031,116.310959,40.036374,20160123100325,116.315043,39.999949,2016/3/23 20:55:00,16
BM9149,20160124094207,116.287312,40.04368,20160124094929,116.280075,40.050443,2016/3/23 20:55:00,22
BM9149,20160130075932,116.323154,40.027235,20160130082229,116.291396,39.957671,2016/3/23 20:55:00,15
BM9149,20160201081713,116.320611,40.048672,20160201084231,116.29396,40.043018,2016/3/23 20:55:00,18
BM9149,20160215092943,116.351618,40.025439,20160215100311,116.611876,40.046496,2016/3/23 20:55:00,22
BM9149,20160225094208,116.318846,40.037558,20160225094953,116.3112,40.036554,2016/3/23 20:55:00,16
BM9149,20160228092356,116.299566,40.093989,20160228094736,116.27084,40.144833,2016/3/23 20:55:00,14
BM9149,20160301084851,116.343321,40.039724,20160301090045,116.353994,40.030213,2016/3/23 20:55:00,21
BM9149,20160302081245,116.329349,40.035898,20160302082909,116.300181,40.047527,2016/3/23 20:55:00,13
BM9149,20160303084641,116.323647,40.040507,20160303090644,116.319467,40.032869,2016/3/23 20:55:00,15
BM9149,20160315085104,116.325079,40.035639,20160315090445,116.316831,40.035204,2016/3/23 20:55:00,14
BM9149,20160318131733,116.337116,40.030512,20160318134128,116.316565,39.992232,2016/3/23 20:55:00,19
BM9149,20160319142103,116.302885,40.043181,20160319142856,116.304557,40.040064,2016/3/23 20:55:00,21
BM9149,20160320063011,116.312104,40.057887,20160320064016,116.304799,40.050034,2016/3/23 20:55:00,5
BM9149,20160321004211,116.313403,40.029088,20160321005157,116.31174,40.033545,2016/3/23 20:55:00,1
BM9149,20160322081603,116.32497,40.040519,20160322084201,116.310788,40.025963,2016/3/23 20:55:00,31
BM9149,20160323180540,116.296232,40.028371,20160323181052,116.294991,40.033679,2016/3/23 20:55:00,20
BM9149,20160326085907,116.323294,40.026856,20160326093315,116.318116,39.974874,2016/3/23 20:55:00,21
BM9149,20160329042941,116.356644,39.910803,20160329050433,116.600992,40.049575,2016/3/23 20:55:00,5
BM9149,20160330063553,116.278169,40.0211,20160330070125,116.390003,39.968349,2016/3/23 20:55:00,8
BM9149,20160331072759,116.324268,40.040518,20160331074052,116.296022,40.034091,2016/3/23 20:55:00,13
BM9149,20160401162157,116.339653,40.038137,20160401164153,116.372649,40.031673,2016/3/23 20:55:00,24
BM9149,20160402074213,116.322943,40.027715,20160402080811,116.275769,39.951675,2016/3/23 20:55:00,11
BM9149,20160405122042,116.319056,40.033228,20160405122352,116.313333,40.027088,2016/3/23 20:55:00,24
BM9149,20160406075811,116.323957,40.040488,20160406082644,116.28713,40.035919,2016/3/23 20:55:00,17
BM9149,20160410080544,116.306883,39.969454,20160410082609,116.321945,39.896248,2016/3/23 20:55:00,14
BM9149,20160411091952,116.329532,40.055239,20160411092524,116.340087,40.061009,2016/3/23 20:55:00,13
BM9149,20160412081348,116.335774,40.03644,20160412082902,116.351057,40.030018,2016/3/23 20:55:00,21
BM9149,20160413093744,116.273752,39.908032,20160413094545,116.285953,39.907453,2016/3/23 20:55:00,14
BM9149,20160414125634,116.313203,40.028857,20160414125836,116.313373,40.027248,2016/3/23 20:55:00,7
BM9149,20160416085704,116.323395,40.035796,20160416094113,116.295053,39.888313,2016/3/23 20:55:00,16
BM9149,20160419092016,116.352049,40.02366,20160419093342,116.373611,40.031214,2016/3/23 20:55:00,16
BM9149,20160420104329,116.30585,40.037365,20160420110949,116.315203,39.99961,2016/3/23 20:55:00,24
BM9149,20160429074346,116.326343,40.040482,20160429090153,116.322175,39.896938,2016/3/23 20:55:00,22
BM9149,20160502084143,116.34008,40.004727,20160502085338,116.333121,39.986433,2016/3/23 20:55:00,14
BM9149,20160527092134,116.323195,40.038746,20160527093531,116.310498,40.036133,2016/3/23 20:55:00,21
BM9149,20160528053715,116.271394,40.012985,20160528054234,116.281582,40.021173,2016/3/23 20:55:00,12
BM9149,20160603085527,116.323185,40.038176,20160603091740,116.317985,40.049707,2016/3/23 20:55:00,21
BM9149,20160604003210,116.298118,40.052094,20160604051932,116.298566,40.034044,2016/3/23 20:55:00,13
BM9149,20160605101351,116.323246,40.038606,20160605102309,116.319677,40.030219,2016/3/23 20:55:00,14
BM9149,20160612132329,116.328027,40.046776,20160612132708,116.328487,40.035876,2016/3/23 20:55:00,19
BM9149,20160615084558,116.31635,40.037803,20160615085327,116.320178,40.03193,2016/3/23 20:55:00,18
BM9149,20160616140156,116.309229,40.062692,20160616140721,116.318126,40.049717,2016/3/23 20:55:00,22
BM9149,20160619095803,116.360996,40.013055,20160619105546,116.382342,39.868308,2016/3/23 20:55:00,22
BN0733,20160314140452,116.587589,40.077292,20160314144831,116.433678,39.937201,2016/6/7 9:57:00,31
BN0733,20160315203502,116.572146,40.064997,20160315205944,116.590418,40.08005,2016/6/7 9:57:00,15
BN0733,20160316214225,116.52748,40.017863,20160316215012,116.528266,40.00589,2016/6/7 9:57:00,21
BN0733,20160317200714,116.587629,40.071392,20160317204921,116.430089,40.064481,2016/6/7 9:57:00,14
BN0733,20160318210317,116.585028,40.048472,20160318215207,116.489372,39.764531,2016/6/7 9:57:00,25
BN0733,20160319050346,116.437823,39.870653,20160319053939,116.61541,40.054138,2016/6/7 9:57:00,4
BN0733,20160320143847,116.507516,40.033902,20160320155127,116.321311,39.876416,2016/6/7 9:57:00,29
BN0733,20160321185617,116.512973,40.012355,20160321191540,116.592587,40.078759,2016/6/7 9:57:00,16
BN0733,20160322050318,116.275356,39.927894,20160322054434,116.61522,40.052678,2016/6/7 9:57:00,5
BN0733,20160326230255,116.58713,40.078382,20160326231142,116.613177,40.047667,2016/6/7 9:57:00,22
